HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION
,XĪBĀNYÁYǓ,español,NOM,,,11
,FǍYǓ,francés,NOM,,,11
,DÉYǓ,alemán,NOM,,,11
,RÌYǓ,japonés,NOM,,,11
,XIÀKÈ,salir de la clase / acabar la clase,VMO,,,11
,CHĪFÀN,"comer, tomar (una comida)",VMO,,,11
,KĀICHĒ,conducir un coche,VMO,,,11
,TIÀOWǓ,bailar,VMO,,,11
,CHÀNGGĒ,cantar (una canción),VMO,,,11
,HUÍDÁ,responder,VER,,,11
,LǏWǓ,"regalo, obsequio",NOM,,,11
,SHǑUBIǍO,reloj de pulsera,NOM,,,11
,ZHŌNGBIǍO,reloj de pared,NOM,,,11
,XĪYĀN,fumar,VMO,,,11
,NÁN,difícil,ADJ,,,11
,DǍDĪ,tomar un taxi,VMO,,,11
