HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2
新年,XĪNNIÁN,Año nuevo,N,,
火锅,HUǑGUŌ,olla caliente,N,,
火,HUǑ,"fuego, calor",N,,
锅,GUŌ,olla,N,,
饭馆,FÀNGUǍN,restaurante,N,,
因为,YĪNWÈI,porque,Conj.,,
所以,SUǑYǏ,así,Conj.,,
爱,ÀI,amar,V,,
涮羊肉,SHUÀN YÁNGRÒU,loncha fina de cordero en agua hirviendo,N,,
涮,SHUÀN,cocinar una loncha fina de cordero en agua hirviendo,V,,
羊,YÁNG,oveja,N,,
肉,RÒU,carne,N,,
热,RÈ,caliente,A,,
开车,KĀICHĒ,conducir un coche,VO,,
开,KĀI,conducir,V,,
郊区,JIĀOQŪ,"suburbios, alrededores",N,,
或者,HUÒZHĚ,o,Conj.,,
音乐会,YĪNYUÈHUÌ,concierto,N,,
化妆,HUÀZHUĀNG,ponerse maquillaje,VO,,
化,HUÀ,cambiar,V,,
妆,ZHUĀNG,maquillaje,N,,
正式,ZHÈNGSHÌ,formal,A,,
民乐,MÍNYUÈ,música popular con instrumento tradicional,N,,
西方,XĪFĀNG,Oeste,N,,
西,XĪ,Oeste,N,,
民族,MÍNZÚ,nacionalidad,N,,
乐器,YUÈQÌ,instrumento musical,N,,
器,QÌ,"instrumento, utensilio",N,,
演奏,YǍNZÒU,dar una actuación musical,V,,
演,YǍN,tocar,V,,
奏,ZÒU,tocar un instrumento musical,V,,
习惯,XÍGUÀN,estar acostumbrado,V,hábito,N
乐曲,YUÈQǓ,composición musical,N,,
曲,QǓ,"tono, melodía",N,,
出租车,CHŪZŪCHĒ,taxi,N,,
出租,CHŪZŪ,alquilar,V,,
路上,LÙSHANG,sobre el camino,N,,
花儿,HUĀR,flores,N,,
过去,GUÒQÙ,pasado,N,,
照相机,ZHÀOXIÀNGJĪ,cámara de fotos,N,,
照相,ZHÀOXIÀNG,hacer una foto,VO,,
机,JĪ,máquina,N,,
旁边,PÁNGBIĀN,al lado,N,,
出发,CHŪFĀ,"salir, irse",V,,
篇,PIĀN,clasificador de artículos,Clas.,,
文章,WÉNZHĀNG,"ensayo, artículo",N,,
恭喜,GŌNGXǏ,felicitaciones,EF,,
火车,HUǑCHĒ,tren,N,,
又,YÒU,de nuevo,Adv.,,
着急,ZHÁOJÍ,nervioso,VO,nervioso,A
春江花月夜,CHŪN JIĀNG HUĀ YUÈ YÈ,nombre de un famoso musical tradicional chino,NP,,
春,CHŪN,primavera,N,,
江,JIĀNG,río,N,,
月,YUÈ,luna,N,,
夜,YÈ,noche,N,,
