HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
好,HǍO,"bien, bueno, vale",ADJ,,,1,2
忙,MÁNG,ocupado,ADJ,,,2,1
男,NÁN,masculino,ADJ,,,2,8
高兴,GĀOXÌNG,"contento, encantado, feliz",ADJ,,,4,2
高,GĀO,alto,ADJ,,,4,3
女,NǙ,mujer,NOM,femenino,ADJ,5,5
晚,WǍN,tarde,ADJ,,,5,21
抱歉,BÀOQIÀN,"arrepentido, apenado",ADJ,,,6,22
开,KĀI,"empezar, abrir",VER,abierto,ADJ,7,2
美,MĚI,"bello, hermoso, guapo",ADJ,,,7,13
小,XIǍO,"pequeño, menor",ADJ,,,8,11
当然,DĀNGRÁN,"obvio, como debe ser",ADJ,,,8,13
真,ZHĒN,realmente,ADV,real / verdadero,ADJ,8,15
可爱,KĚÀI,"adorable, agradable / precioso",ADJ,,,8,16
大,DÀ,"grande, voluminoso",ADJ,,,8,21
多,DUŌ,mucho,ADJ,,,8,23
少,SHǍO,poco,ADJ,,,8,24
,HÓNG,rojo,ADJ,,,9,30
,KUÀILÈ,feliz,ADJ,,,9,35
,PIÀOLIANG,guapa (chica) / bonito (cosas),ADJ,,,9,36
,YǑUMÍNG,famoso,ADJ,,,10,7
,RÓNGYÌ,fácil,ADJ,,,10,17
,GUÌ,"caro, apreciado",ADJ,,,10,22
全,QUÁN,"completo, todo",ADJ,,,12,2
舒服,SHŪFU,"cómodo, bien",ADJ,,,12,4
疼,TÉNG,doloroso,ADJ,,,12,8
冷,LĚNG,frío,ADJ,,,12,19
,ZĀNG,sucio,ADJ,,,14,10
,GĀNJÌNG,limpio,ADJ,,,14,11
,DUÌ,correcto,ADJ,,,14,24
,CUÒ,incorrecto,ADJ,,,14,25
,SHĒNG,nuevo,ADJ,,,14,28
,ZǍO,temprano,ADJ,mañana,NOM,15,1
,SHǍO,poco,ADJ,,,15,3
,KUÀI,rápido,ADJ,,,15,34
,NIÁNQĪNG,joven,ADJ,,,15,37
,QĪNG,"ligero, pequeño",ADJ,,,15,38
,LIÚLÌ,fluido,ADJ,,,15,39
,MÀN,"lento, lentamente",ADJ,,,16,20
,CHÁNG,largo,ADJ,,,16,28
,JIǓ,largo (tiempo),ADJ,,,16,29
,BÚCUÒ,no estar mal,ADJ,,,16,32
,XĪN,nuevo,ADJ,,,16,34
,SHÍYÒNG,práctico,ADJ,,,16,48
,ZHŌNGSHÌ,estilo chino,ADJ,,,17,5
,CHÀ,"que no es estándar, pobre, malo",ADJ,,,17,13
,SHUÀI,guapo (chico),ADJ,,,17,17
,HĒI,negro,ADJ,,,17,19
,HÓNG,rojo,ADJ,,,17,20
,BÁI,blanco,ADJ,,,17,21
,PIÁNYI,barato,ADJ,,,17,22
,LǛ,verde,ADJ,,,17,28
,HÉSHÌ,"adecuado, apropiado, correcto",ADJ,,,17,35
,DUǍN,corto,ADJ,,,17,36
,CHÁNG,largo,ADJ,,,17,37
,GĀO,"elevado, alto",ADJ,,,17,38
,CUÒ,incorrecto,ADJ,,,18,2
,JIÙ,"viejo, pasado, usado",ADJ,,,18,8
,XĪN,nuevo,ADJ,,,18,9
,KÈQI,"cortés, atengo",ADJ,,,18,24
,GŌNGGÒNG,público,ADJ,,,18,29
,ZĀOGĀO,"desastre, muy malo",ADJ,,,18,47
,YÍYÀNG,mismo,ADJ,,,19,6
,LǍO,"viejo, con experiencia",ADJ,,,19,10
,MǍMǍHŪHŪ,"regular, mediocre",ADJ,,,19,17
,MǍHU,"descuidado, casual",ADJ,,,19,18
,ZHǓYÀO,principal,ADJ,,,19,27
热,RÈ,caliente,ADJ,,,20,13
开,KĀI,conducir,VER,abierto,ADJ,20,15
正式,ZHÈNGSHÌ,formal,ADJ,,,20,22
日常 ,RÌCHÁNG,"normal, diario, cotidiano",ADJ,,,20,23
西方,XĪFĀNG,Oeste,NOM,occidental,ADJ,20,25
着急,ZHÁOJÍ,estar nervioso/ansioso,V+O,"nervioso, ansioso",ADJ,20,50
不同,BÙTÓNG,diferente,ADJ,,,21,3
远,YUǍN,lejano,ADJ,,,21,43
近,JÌN,cercano,ADJ,,,21,44
卫生,WÈISHĒNG,"higiene, salud, sanidad",NOM,"higiénico, sanitario",ADJ,21,54
古典,GǓDIǍN,clásico,ADJ,,,22,11
感人,GǍNRÉN,"conmovedor, emotivo",ADJ,,,22,18
困,KÙN,cansado,ADJ,estar cansado,VER,22,29
