HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
很,HĚN,muy,ADV,,,1,5
也,YĚ,"también, además",ADV,,,1,7
都,DŌU,"ambos, todos",ADV,,,2,6
不,BÙ,no,ADV,,,2,7
再,ZÀI,otra vez,ADV,,,5,12
不用,BÚYÒNG,no necesitar,ADV,,,5,19
太,TÀI,demasiado,ADV,,,6,10
恐怕,KǑNGPÀ,"quizás, tal vez",ADV,,,6,23
一共,YÍGÒNG,en total,ADV,,,8,8
还,HÁI,además / todavía,ADV,,,8,9
真,ZHĒN,realmente,ADV,real / verdadero,ADJ,8,15
,CHŪ,salir,VER,fuera,ADV,9,15
,CHÁNGCHÁNG,"a menudo, frecuentemente",ADV,,,10,2
,CHÁNG,"a menudo, frecuentemente",ADV,,,10,3
,HÁI,además / todavía,ADV,,,11,18
一起,YÌQǏ,juntos,ADV,,,12,18
有点儿,YǑUDIǍNR,un poco,ADV,,,12,25
,GĀNGCÁI,recién,ADV,,,14,2
,GĀNG,recién,ADV,,,15,13
,FĒICHÁNG,extremadamente,ADV,,,15,16
,HǍOJIǓ,hace mucho tiempo,ADV,,,15,31
,JIÙ,"con exactitud, exactamente / ahora mismo",ADV,,,15,41
,XIĀN,primero / antes,ADV,,,16,11
,CHŪ,salir,VER,fuera,ADV,16,36
,YǏJĪNG,ya,ADV,,,17,7
,JÍLE,extremadamente,ADV,,,17,11
,YÍDÌNG,"deber, seguramente",ADV,,,17,12
,BIÉ,no,ADV,,,18,22
,ZHǏ,solamente,ADV,,,19,32
又,YÒU,"de nuevo, otra vez",ADV,,,20,49
