HANZI,PINYIN,DEF1,TIPO1,DEF2,TIPO2,LECCION,NUM
要,YÀO,querer,VER,,,2,11
喝,HĒ,beber,VER,,,2,14
是,SHÌ,"ser, estar",VER,,,3,2
认识,RÈNSHI,conocer (a alguien),VER,,,4,1
请问,QǏNGWÈN,¿Podría preguntarle...?,VER,,,4,6
请,QǏNG,"por favor, solicitar, pedir",VER,,,4,7
问,WÈN,preguntar,VER,,,4,8
姓,XÌNG,apellido,NOM,apellidar,VER,4,11
叫,JIÀO,llamar(se),VER,,,4,12
学,XUÉ,estudio,NOM,"estudiar, aprender",VER,4,16
学习,XUÉXÍ,"estudiar, aprender",VER,,,4,20
在,ZÀI,estar,VER,en,PRE,5,2
坐,ZUÒ,sentarse,VER,,,5,6
谢谢,XIÈXIÈ,dar las gracias,VER,,,5,7
知道,ZHĪDÀO,saber,VER,,,5,9
去,QÙ,ir,VER,,,6,1
有,YǑU,tener,VER,,,6,14
说,SHUŌ,"hablar, decir",VER,,,6,16
打,DǍ,jugar,VER,,,6,20
行,XÍNG,estar bien,VER,,,6,24
开,KĀI,"empezar, abrir",VER,abierto,ADJ,7,2
看,KÀN,"mirar, ver",VER,,,7,3
介绍,JIÈSHÀO,presentar,VER,introducción,NOM,7,8
爱,ÀI,amor,NOM,amar,VER,8,17
没,MÉI,no haber,VER,,,8,18
做,ZUÒ,hacer,VER,,,8,19
工作,GŌNGZUÒ,trabajo,NOM,trabajar,VER,8,20
喜欢,XǏHUAN,"gustar, preferir",VER,,,8,25
,SHĒNG,nacer,VER,vida,NOM,9,12
,CHŪSHĒNG,nacer,VER,nacimiento,NOM,9,14
,CHŪ,salir,VER,fuera,ADV,9,15
,SHǓ,nacer en el año de,VER,,,9,16
,ZHÙHÈ,felicitar,VER,felicitación,NOM,9,20
,ZHÙ,"desear, felicitar",VER,deseo,NOM,9,21
,CĀNJIĀ,participar / asistir / integrarse,VER,,,9,22
,GUÒ,celebrar,VER,,,9,23
,CHĪ,comer,VER,,,9,24
,MǍI,comprar,VER,,,9,28
,GĒN,con,PRE,seguir,VER,10,4
,SÒNG,regalar,VER,,,10,24
,GĚI,dar,VER,,,10,25
,ZHǍO,dar cambio / buscar,VER,,,10,26
,CHÀ,"estar corto de, carecer de",VER,,,11,5
,HUÍ,volver,VER,,,11,7
,JIĀO,enseñar,VER,,,11,9
,DÀO,"llegar, alcanzar",VER,,,11,11
,WÁNR,"pasarlo bien, jugar",VER,,,11,25
,XIĚ,escribir,VER,,,11,28
,SHUÌ,dormir,VER,sueño,NOM,11,32
,QǏ,"levantarse, ponerse en pie, elevar",VER,,,11,34
锻炼,DUÀNLIÀN,hacer ejercicio físico,VER,,,12,6
病,BÌNG,enfermedad,NOM,ponerse enfermo,VER,12,13
穿,CHUĀN,llevar puesto,VER,,,12,20
休息,XIŪXI,descansar,VER,descanso,NOM,12,22
