HANZI,PINYIN [PLECO],DEF1,TIPO1,DEF2,TIPO2,LESSON,NUMBER,LECCION,NUM,#
阿姨,ĀYÍ,tía (hermana de la madre),NOM,,,14,12,,,1
啊,A,(partícula utilizada al final de una frase para indicar confirmación) ,INT,,,1,3,7,6,2
矮,ǍI,bajo (de estatura),ADJ,,,10,2,,,3
爱,ÀI,amar,VER,amor,NOM,,,20,8,4
爱好,ÀIHÀO,"tener algo como hobby, tener interés en algo",VER,"hobby, interés",NOM,17,5,19,14,5
安静,ĀNJÌNG,"tranquilo, calmado, silencioso",ADJ,tranquilizarse,VER,8,8,,,6
八,BĀ,ocho,NUM,,,,,,,7
把,BǍ,(indicar que la acción tiene efecto sobre el objeto),PRE,clas. para objetos con mango,CLA,2,14,16,1,8
爸爸,BÀBA,padre,NOM,,,,,2,2,9
吧,BA,(partícula modal),PM,,,,,12,16,10
白,BÁI,"blanco, claro, puro",ADJ,,,,,17,21,11
百,BǍI,cien,NUM,,,,,8,27,12
班,BĀN,"clase, equipo",NOM,,,9,2,,,13
搬,BĀN,"mudar, mover",VER,,,1,15,,,14
办法,BÀNFǍ,"manera, método",NOM,,,17,6,,,15
办公室,BÀNGŌNGSHÌ,oficina,NOM,,,2,10,16,6,16
半,BÀN,"mitad, media",CLA,,,7,9,11,27,17
帮忙,BĀNGMÁNG,ayudar,V+O,,,6,6,23,54,18
帮助,BĀNGZHÙ,ayudar,VER,ayuda,NOM,,,13,29,19
包,BĀO,"bolsa, paquete",NOM,envolver,VER,12,6,18,4,20
饱,BǍO,lleno (de comida),ADJ,,,17,7,,,21
报纸,BÀOZHǏ,"diario, periódico",NOM,,,,,10,9,22
杯子,BĒIZI,"taza, vidrio",NOM,,,,,,,23
北方,BĚIFĀNG,"Norte, parte Norte de un país",NOM,,,1,11,,,24
北京,BĚIJĪNG,Beijing,NP,,,,,9,34,25
被,BÈI,(utilizado para indicar la voz pasiva),PRE,cubrir (con),VER,20,2,,,26
本,BĚN,"clas. para libros, archivos, etc.",CLA,,,,,,,27
鼻子,BÍZI,nariz,NOM,,,16,10,,,28
比,BǏ,que (indica comparación),PRE,,,,,17,2,29
比较,BǏJIÀO,"comparativamente, relativamente, bastante",ADV,"comparar, contrastar",VER,9,8,,,30
比赛,BǏSÀI,"partido, competición",NOM,"jugar un partido, competir",VER,4,1,21,12,31
笔记本,BǏJÌBĚN,"(computadora) notebook, libreta",NOM,,,11,17,,,32
必须,BÌXŪ,"deber, tener que",VER,,,17,12,,,33
变化,BIÀNHUÀ,cambiar,VER,cambio,NOM,8,15,24,11,34
别,BIÉ,no,ADV,,,,,18,22,35
别人,BIÉREN,otras personas,NOM,,,16,15,,,36
宾馆,BĪNGUǍN,hotel,NOM,,,,,,,37
冰箱,BĪNGXIĀNG,"heladera, freezer",NOM,,,14,4,,,38
不,BÙ,no,ADV,,,,,2,7,39
不但……而且……,BÚDÀN…ÉRQIĚ,"no solo… sino que también, y también",CON,,,18,7,24,12,40
不客气,BÚKÈQI,"de nada, no hay de qué",FH,,,,,,,41
菜,CÀI,"comida, plato / verdura",NOM,,,,,24,6,42
菜单,CÀIDĀN,menú,NOM,,,14,15,23sup,5,43
参加,CĀNJIĀ,"participar, asistir, integrarse",VER,,,9,12,9,22,44
草,CǍO,pasto,NOM,,,5,9,,,45
层,CÉNG,"piso, planta",CLA,,,8,4,5,15,46
茶,CHÁ,té,NOM,,,,,,,47
差,CHÀ,quedarse corto de,VER,"que no es estándar, pobre, malo",ADJ,7,12,17,13,48
长（形容词）,CHÁNG,largo,ADJ,largo,NOM,,,16,28,49
唱歌,CHÀNGGĒ,cantar (una canción),VER,,,,,19,15,50
超市,CHĀOSHÌ,supermercado,NOM,,,4,12,,,51
衬衫,CHÈNSHĀN,camisa,NOM,,,3,7,17,27,52
